dateday,season,year,month,count,season_category,hour,time_category
2011-01-01,spring,2011,Jan,985,Sepi,,
2011-01-02,spring,2011,Jan,801,Sepi,,
2011-01-03,spring,2011,Jan,1349,Sepi,,
2011-01-04,spring,2011,Jan,1562,Sepi,,
2011-01-05,spring,2011,Jan,1600,Sepi,,
2011-01-06,spring,2011,Jan,1606,Sepi,,
2011-01-07,spring,2011,Jan,1510,Sepi,,
2011-01-08,spring,2011,Jan,959,Sepi,,
2011-01-09,spring,2011,Jan,822,Sepi,,
2011-01-10,spring,2011,Jan,1321,Sepi,,
2011-01-11,spring,2011,Jan,1263,Sepi,,
2011-01-12,spring,2011,Jan,1162,Sepi,,
2011-01-13,spring,2011,Jan,1406,Sepi,,
2011-01-14,spring,2011,Jan,1421,Sepi,,
2011-01-15,spring,2011,Jan,1248,Sepi,,
2011-01-16,spring,2011,Jan,1204,Sepi,,
2011-01-17,spring,2011,Jan,1000,Sepi,,
2011-01-18,spring,2011,Jan,683,Sepi,,
2011-01-19,spring,2011,Jan,1650,Sepi,,
2011-01-20,spring,2011,Jan,1927,Sepi,,
2011-01-21,spring,2011,Jan,1543,Sepi,,
2011-01-22,spring,2011,Jan,981,Sepi,,
2011-01-23,spring,2011,Jan,986,Sepi,,
2011-01-24,spring,2011,Jan,1416,Sepi,,
2011-01-25,spring,2011,Jan,1985,Sepi,,
2011-01-26,spring,2011,Jan,506,Sepi,,
2011-01-27,spring,2011,Jan,431,Sepi,,
2011-01-28,spring,2011,Jan,1167,Sepi,,
2011-01-29,spring,2011,Jan,1098,Sepi,,
2011-01-30,spring,2011,Jan,1096,Sepi,,
2011-01-31,spring,2011,Jan,1501,Sepi,,
2011-02-01,spring,2011,Feb,1360,Sepi,,
2011-02-02,spring,2011,Feb,1526,Sepi,,
2011-02-03,spring,2011,Feb,1550,Sepi,,
2011-02-04,spring,2011,Feb,1708,Sepi,,
2011-02-05,spring,2011,Feb,1005,Sepi,,
2011-02-06,spring,2011,Feb,1623,Sepi,,
2011-02-07,spring,2011,Feb,1712,Sepi,,
2011-02-08,spring,2011,Feb,1530,Sepi,,
2011-02-09,spring,2011,Feb,1605,Sepi,,
2011-02-10,spring,2011,Feb,1538,Sepi,,
2011-02-11,spring,2011,Feb,1746,Sepi,,
2011-02-12,spring,2011,Feb,1472,Sepi,,
2011-02-13,spring,2011,Feb,1589,Sepi,,
2011-02-14,spring,2011,Feb,1913,Sepi,,
2011-02-15,spring,2011,Feb,1815,Sepi,,
2011-02-16,spring,2011,Feb,2115,Sepi,,
2011-02-17,spring,2011,Feb,2475,Sepi,,
2011-02-18,spring,2011,Feb,2927,Sepi,,
2011-02-19,spring,2011,Feb,1635,Sepi,,
2011-02-20,spring,2011,Feb,1812,Sepi,,
2011-02-21,spring,2011,Feb,1107,Sepi,,
2011-02-22,spring,2011,Feb,1450,Sepi,,
2011-02-23,spring,2011,Feb,1917,Sepi,,
2011-02-24,spring,2011,Feb,1807,Sepi,,
2011-02-25,spring,2011,Feb,1461,Sepi,,
2011-02-26,spring,2011,Feb,1969,Sepi,,
2011-02-27,spring,2011,Feb,2402,Sepi,,
2011-02-28,spring,2011,Feb,1446,Sepi,,
2011-03-01,spring,2011,Mar,1851,Sepi,,
2011-03-02,spring,2011,Mar,2134,Sepi,,
2011-03-03,spring,2011,Mar,1685,Sepi,,
2011-03-04,spring,2011,Mar,1944,Sepi,,
2011-03-05,spring,2011,Mar,2077,Sepi,,
2011-03-06,spring,2011,Mar,605,Sepi,,
2011-03-07,spring,2011,Mar,1872,Sepi,,
2011-03-08,spring,2011,Mar,2133,Sepi,,
2011-03-09,spring,2011,Mar,1891,Sepi,,
2011-03-10,spring,2011,Mar,623,Sepi,,
2011-03-11,spring,2011,Mar,1977,Sepi,,
2011-03-12,spring,2011,Mar,2132,Sepi,,
2011-03-13,spring,2011,Mar,2417,Sepi,,
2011-03-14,spring,2011,Mar,2046,Sepi,,
2011-03-15,spring,2011,Mar,2056,Sepi,,
