dateday,season,year,month,hour,count,time_category
2011-01-01,spring,2011,Jan,0,16,Malam
2011-01-01,spring,2011,Jan,1,40,Malam
2011-01-01,spring,2011,Jan,2,32,Malam
2011-01-01,spring,2011,Jan,3,13,Malam
2011-01-01,spring,2011,Jan,4,1,Pagi
2011-01-01,spring,2011,Jan,5,1,Pagi
2011-01-01,spring,2011,Jan,6,2,Pagi
2011-01-01,spring,2011,Jan,7,3,Pagi
2011-01-01,spring,2011,Jan,8,8,Pagi
2011-01-01,spring,2011,Jan,9,14,Pagi
2011-01-01,spring,2011,Jan,10,36,Pagi
2011-01-01,spring,2011,Jan,11,56,Siang
2011-01-01,spring,2011,Jan,12,84,Siang
2011-01-01,spring,2011,Jan,13,94,Siang
2011-01-01,spring,2011,Jan,14,106,Siang
2011-01-01,spring,2011,Jan,15,110,Siang
2011-01-01,spring,2011,Jan,16,93,Sore
2011-01-01,spring,2011,Jan,17,67,Sore
2011-01-01,spring,2011,Jan,18,35,Sore
2011-01-01,spring,2011,Jan,19,37,Sore
2011-01-01,spring,2011,Jan,20,36,Malam
2011-01-01,spring,2011,Jan,21,34,Malam
2011-01-01,spring,2011,Jan,22,28,Malam
2011-01-01,spring,2011,Jan,23,39,Malam
2011-01-02,spring,2011,Jan,0,17,Malam
2011-01-02,spring,2011,Jan,1,17,Malam
2011-01-02,spring,2011,Jan,2,9,Malam
2011-01-02,spring,2011,Jan,3,6,Malam
2011-01-02,spring,2011,Jan,4,3,Pagi
2011-01-02,spring,2011,Jan,6,2,Pagi
2011-01-02,spring,2011,Jan,7,1,Pagi
2011-01-02,spring,2011,Jan,8,8,Pagi
2011-01-02,spring,2011,Jan,9,20,Pagi
2011-01-02,spring,2011,Jan,10,53,Pagi
2011-01-02,spring,2011,Jan,11,70,Siang
2011-01-02,spring,2011,Jan,12,93,Siang
2011-01-02,spring,2011,Jan,13,75,Siang
2011-01-02,spring,2011,Jan,14,59,Siang
2011-01-02,spring,2011,Jan,15,74,Siang
2011-01-02,spring,2011,Jan,16,76,Sore
2011-01-02,spring,2011,Jan,17,65,Sore
2011-01-02,spring,2011,Jan,18,53,Sore
2011-01-02,spring,2011,Jan,19,30,Sore
2011-01-02,spring,2011,Jan,20,22,Malam
